customer_id,first_name,last_name,email,segment,industry,country,acquisition_channel,created_at,is_active
CUST00001,Connie,Mckinney,rodriguezjill@example.com,Enterprise,Technology,CA,Paid Search,2025-07-29,True
CUST00002,Nathan,Ross,jillmcknight@example.com,Enterprise,Education,UK,Direct,2025-07-06,True
CUST00003,Andrew,Conley,natalie97@example.org,Enterprise,Technology,FR,Paid Search,2024-05-12,True
CUST00004,Ariana,Marquez,michael93@example.com,Enterprise,Manufacturing,FR,Webinar,2024-03-31,True
CUST00005,Roberto,Williams,ecarter@example.org,Consumer,Healthcare,SE,Direct,2026-04-08,True
CUST00006,Dennis,Olson,joy21@example.net,Enterprise,Healthcare,NL,Paid Social,2025-12-26,True
CUST00007,Vincent,Brown,tammyharding@example.com,Mid-Market,Finance,UK,Organic Search,2023-09-06,True
CUST00008,Dylan,Clarke,smithmegan@example.com,SMB,Finance,CA,Event,2025-06-20,True
CUST00009,Erika,Collins,todddavis@example.org,Consumer,Manufacturing,UK,Email Referral,2023-05-21,True
CUST00010,Kurt,Hunt,nancyburns@example.org,SMB,Education,AU,Direct,2025-01-20,True
CUST00011,Brandon,Gray,pauldonaldson@example.com,Enterprise,Technology,FR,Event,2024-06-28,True
CUST00012,Juan,Campbell,alan81@example.org,Enterprise,Healthcare,UK,Email Referral,2023-12-26,True
CUST00013,Elizabeth,Rodgers,leeana@example.com,SMB,Healthcare,AU,Paid Social,2023-10-25,True
CUST00014,Bethany,Garcia,robert68@example.org,SMB,Education,UK,Direct,2024-06-29,True
CUST00015,Kyle,Harmon,wilsonjeff@example.net,Mid-Market,Healthcare,SE,Email Referral,2025-08-31,True
CUST00016,Karen,Montgomery,cartermaria@example.net,Mid-Market,Education,AU,Event,2025-02-03,True
CUST00017,Jose,White,debra10@example.com,Enterprise,Healthcare,US,Event,2023-12-15,True
CUST00018,Michael,Clayton,piercedenise@example.net,SMB,Technology,FR,Direct,2025-02-14,False
CUST00019,Christopher,Page,brucetaylor@example.com,SMB,Healthcare,SE,Email Referral,2023-10-06,False
CUST00020,Katherine,Jones,gserrano@example.net,Consumer,Healthcare,CA,Paid Search,2023-12-23,True
CUST00021,Joshua,Gonzalez,westwilliam@example.org,SMB,Education,NL,Direct,2023-06-09,True
CUST00022,Micheal,Payne,marshjacqueline@example.net,Mid-Market,Healthcare,SE,Organic Search,2025-02-17,True
CUST00023,Karen,Jones,brucejeffrey@example.org,Enterprise,Healthcare,DE,Event,2026-01-25,True
CUST00024,Trevor,Harvey,jacqueline66@example.net,Enterprise,Retail,NL,Direct,2026-02-19,False
CUST00025,Christina,Lawrence,joseph59@example.com,SMB,Manufacturing,US,Webinar,2023-05-27,True
CUST00026,Brett,Mooney,lfitzpatrick@example.net,SMB,Education,AU,Organic Search,2023-07-13,True
CUST00027,Elizabeth,Lewis,castrojill@example.net,Mid-Market,Retail,US,Webinar,2023-10-23,False
CUST00028,Pamela,Bennett,micheal70@example.com,SMB,Manufacturing,DE,Direct,2023-06-13,False
CUST00029,Susan,Soto,rebeccajenkins@example.com,SMB,Education,FR,Paid Search,2025-05-29,True
CUST00030,Charles,Martin,nwise@example.org,Mid-Market,Manufacturing,US,Direct,2024-12-06,True
CUST00031,Brian,Anderson,cortezgeorge@example.com,Enterprise,Technology,AU,Event,2025-07-31,False
CUST00032,Kristy,Black,katherinerodriguez@example.com,Mid-Market,Technology,FR,Direct,2023-07-20,False
CUST00033,Charles,Ortega,robersonbenjamin@example.com,Enterprise,Education,SE,Event,2026-04-09,True
CUST00034,Shawn,Mills,anthonyrobinson@example.net,Mid-Market,Healthcare,SE,Direct,2025-09-29,True
CUST00035,Nichole,Espinoza,raymondreid@example.net,Consumer,Healthcare,FR,Webinar,2024-06-20,True
CUST00036,Cassidy,Hodges,christopherwilson@example.org,SMB,Retail,SE,Organic Search,2025-04-13,True
CUST00037,William,Reed,christopher96@example.com,Enterprise,Finance,US,Direct,2024-01-28,True
CUST00038,Michael,Baker,patriciadougherty@example.com,Mid-Market,Technology,UK,Webinar,2025-05-04,True
CUST00039,Kimberly,Gonzales,phayden@example.net,Mid-Market,Technology,US,Event,2024-07-12,True
CUST00040,Andre,Anderson,angelacooke@example.com,Mid-Market,Finance,SE,Paid Search,2024-04-10,True
CUST00041,Rachel,Stone,urobinson@example.com,Consumer,Healthcare,SE,Event,2024-02-12,True
CUST00042,Michelle,Gray,wolfeelizabeth@example.com,Enterprise,Technology,NL,Paid Social,2024-10-19,True
CUST00043,Linda,Webb,kimberly30@example.com,Consumer,Education,US,Webinar,2023-07-27,True
CUST00044,Kelly,Reyes,daisyjones@example.net,Enterprise,Technology,NL,Webinar,2025-03-19,True
CUST00045,Haley,Carpenter,istevens@example.net,Enterprise,Healthcare,FR,Paid Search,2023-12-05,True
CUST00046,Cynthia,Schmitt,stephanie08@example.com,Mid-Market,Retail,DE,Paid Social,2023-11-23,True
CUST00047,Robin,Swanson,zalvarez@example.com,Enterprise,Retail,UK,Organic Search,2024-11-14,True
CUST00048,Michael,Morgan,combslisa@example.org,Enterprise,Technology,FR,Paid Search,2023-07-06,True
CUST00049,Austin,Holloway,moniquejohnston@example.org,Consumer,Healthcare,NL,Organic Search,2025-01-30,True
CUST00050,Laurie,Arnold,penningtoncarla@example.com,Enterprise,Retail,CA,Event,2025-10-28,True
CUST00051,James,Myers,macdonaldjacqueline@example.com,SMB,Retail,SE,Paid Search,2025-03-06,True
CUST00052,Shirley,Johnson,qarias@example.com,Mid-Market,Technology,US,Webinar,2023-08-01,True
CUST00053,Alejandro,Fowler,hernandeztodd@example.org,Enterprise,Manufacturing,SE,Direct,2026-02-18,False
CUST00054,Robert,Lee,bishopstephanie@example.net,Mid-Market,Technology,UK,Event,2025-01-30,True
